,spend,technology,domain,link,description
7,$2000+ / month,Hubspot,Analytics and Tracking,http://www.hubspot.com,Hubspot provides marketing information and leads via inbounding marketing software.
8,$2000+ / month,Visual Website Optimizer,Analytics and Tracking,http://visualwebsiteoptimizer.com,"VWO provides A/B, split and multivariate testing software."
9,$2000+ / month,Kochava,Analytics and Tracking,https://www.kochava.com/,Unified audience attribution and analytics platform.
10,$2000+ / month,PageFair,Analytics and Tracking,http://pagefair.com/,Use PageFair to measure how much ad-blocking is costing.
11,$2000+ / month,Google Conversion Tracking,Analytics and Tracking,https://support.google.com/adwords/answer/1722054,"This free tool in AdWords can show you what happens after customers click your ad (for example, whether they purchased your product, called from a mobile phone or downloaded your app)."
12,$2000+ / month,Google Analytics,Analytics and Tracking,http://google.com/analytics,Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.
13,$2000+ / month,Quantcast Measurement,Analytics and Tracking,http://www.quantcast.com,Provides Quantcast with tracking information about your site which anyone can access and view demographic information.
14,$2000+ / month,Facebook Pixel,Analytics and Tracking,https://www.facebook.com/business/help/952192354843755,Facebook Pixel is Facebooks conversion tracking system for ads on Facebook to websites.
15,$2000+ / month,LinkedIn Insights,Analytics and Tracking,https://business.linkedin.com/marketing-solutions,The LinkedIn Insight Tag is a piece of lightweight JavaScript code that you can add to your website to enable in-depth campaign reporting and unlock valuable insights about your website visitors and for conversion optimization of ads.
16,$2000+ / month,Twitter Conversion Tracking,Analytics and Tracking,https://business.twitter.com/en/help/campaign-measurement-and-analytics/conversion-tracking-for-websites.html,Twitter ads conversion tracking code.
17,$2000+ / month,Fastly,Analytics and Tracking,http://fastly.net,Real-time Analytics and CDN platform. Analyze your web and server traffic patterns in real-time.
18,$2000+ / month,Facebook Signal,Analytics and Tracking,https://www.facebook.com/facebookmedia/get-started/signal,"Journalists use Signal to surface relevant trends, photos, videos and posts from Facebook and Instagram for use in their storytelling and reporting."
